"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
46,"MSFT230915C00310000",27.6,29.15,172,6722,3.75,15.40041,2023-09-11 15:54:10,28.1,0.601078208007813,TRUE,310,FALSE,0.340826904296875,0.06,2023-09-11 15:55:58,-57.142853,-0.08,12374,630,0.07,0.05,"MSFT230915P00310000"
47,"MSFT230915C00312500",25.1,26.65,14,253,4.1000004,18.981483,2023-09-11 15:54:40,25.7,0.560062993164062,TRUE,312.5,FALSE,0.319342744140625,0.07,2023-09-11 15:55:43,-61.11111,-0.11000001,3006,901,0.08,0.06,"MSFT230915P00312500"
48,"MSFT230915C00315000",22.65,24,160,3325,3.710001,19.035408,2023-09-11 15:54:40,23.2,0.498784309082031,TRUE,315,FALSE,0.29688203125,0.09,2023-09-11 15:58:50,-59.090908,-0.13,9047,1454,0.09,0.08,"MSFT230915P00315000"
49,"MSFT230915C00317500",20.15,21.7,41,554,3.9499989,23.44213,2023-09-11 15:56:23,20.8,0.482915327148438,TRUE,317.5,FALSE,0.2773509765625,0.11,2023-09-11 15:59:22,-63.333332,-0.19000001,4490,1142,0.11,0.1,"MSFT230915P00317500"
50,"MSFT230915C00320000",17.7,19,240,16458,3.790001,25.694921,2023-09-11 15:59:23,18.54,0.416509741210937,TRUE,320,FALSE,0.2617261328125,0.14,2023-09-11 15:58:50,-65,-0.26,21669,1631,0.15,0.14,"MSFT230915P00320000"
51,"MSFT230915C00322500",15.25,16.8,227,1153,3.5099993,28.329292,2023-09-11 15:58:20,15.9,0.407354559326172,TRUE,322.5,FALSE,0.246589565429688,0.19,2023-09-11 15:59:56,-70.3125,-0.45,2770,1135,0.21,0.19,"MSFT230915P00322500"
52,"MSFT230915C00325000",13.05,13.9,515,5606,3.33,32.11186,2023-09-11 15:59:23,13.7,0.320807573242187,TRUE,325,FALSE,0.233161965332031,0.29,2023-09-11 15:59:33,-67.41573,-0.6,11415,3179,0.31,0.29,"MSFT230915P00325000"
53,"MSFT230915C00327500",10.6,11.75,431,2753,2.88,34.123226,2023-09-11 15:59:20,11.32,0.311652391357422,TRUE,327.5,FALSE,0.225105405273437,0.47,2023-09-11 15:59:53,-62.399994,-0.78,3125,2190,0.5,0.45,"MSFT230915P00327500"
54,"MSFT230915C00330000",8.3,9.2,1598,27387,2.4500003,36.84211,2023-09-11 15:59:42,9.1,0.25977302734375,TRUE,330,FALSE,0.216316430664062,0.75,2023-09-11 15:59:59,-59.67742,-1.11,19575,5230,0.79,0.68,"MSFT230915P00330000"
55,"MSFT230915C00332500",6.2,7.65,2301,3426,2.1399999,43.495934,2023-09-11 15:59:36,7.06,0.281501325683594,TRUE,332.5,FALSE,0.211677805175781,1.16,2023-09-11 15:59:56,-57.352943,-1.5600001,3341,3902,1.28,1.12,"MSFT230915P00332500"
56,"MSFT230915C00335000",5,5.3,6572,12743,1.75,50,2023-09-11 15:59:56,5.25,0.231819205322266,TRUE,335,FALSE,0.213020565185547,1.85,2023-09-11 15:59:49,-50.666664,-1.9,8165,7511,2.08,1.76,"MSFT230915P00335000"
57,"MSFT230915C00337500",3.2,3.65,8990,6993,1.1500001,46.184742,2023-09-11 15:59:36,3.64,0.217170914306641,TRUE,337.5,FALSE,0.198250205078125,2.78,2023-09-11 15:59:55,-47.047623,-2.47,2099,4724,2.91,2.73,"MSFT230915P00337500"
58,"MSFT230915C00340000",2.24,2.4,23920,19538,0.7599999,47.499992,2023-09-11 15:59:55,2.36,0.210335045166016,FALSE,340,TRUE,0.186775710449219,4.02,2023-09-11 15:57:58,-42.978725,-3.0300002,8231,2564,4.1,3.9,"MSFT230915P00340000"
59,"MSFT230915C00342500",1.26,1.5,5034,4729,0.39,37.5,2023-09-11 15:59:49,1.43,0.2070391796875,FALSE,342.5,TRUE,0.231697136230469,5.65,2023-09-11 15:59:00,-36.871506,-3.2999997,944,1030,6.4,4.85,"MSFT230915P00342500"
60,"MSFT230915C00345000",0.8,0.84,7828,16686,0.19,29.23077,2023-09-11 15:59:59,0.84,0.20117986328125,FALSE,345,TRUE,0.240119903564453,7.73,2023-09-11 15:58:07,-31.834215,-3.6100001,3497,135,8.35,7.4,"MSFT230915P00345000"
61,"MSFT230915C00347500",0.32,0.5,2145,2056,0.08000001,20.512825,2023-09-11 15:59:59,0.47,0.205330212402344,FALSE,347.5,TRUE,0.257575783691406,9.95,2023-09-11 15:47:18,-26.83824,-3.6500006,65,111,10.55,8.95,"MSFT230915P00347500"
62,"MSFT230915C00350000",0.25,0.27,4390,16742,0.01000002,3.8461618,2023-09-11 15:59:56,0.27,0.206062626953125,FALSE,350,TRUE,0.276618562011719,12.19,2023-09-11 15:29:16,-23.812502,-3.8100004,3648,206,12.85,11.3,"MSFT230915P00350000"
63,"MSFT230915C00352500",0.15,0.16,918,850,-0.019999996,-11.764703,2023-09-11 15:59:39,0.15,0.21289849609375,FALSE,352.5,TRUE,0.307868249511719,14.46,2023-09-11 14:13:31,-23.693933,-4.4900007,55,47,15.3,13.7,"MSFT230915P00352500"
64,"MSFT230915C00355000",0.09,0.1,1701,14145,-0.04,-28.571426,2023-09-11 15:58:26,0.1,0.221687470703125,FALSE,355,TRUE,0.249519223632812,17.5,2023-09-11 14:07:09,-14.425431,-2.9500008,302,4,17.25,16.55,"MSFT230915P00355000"
65,"MSFT230915C00357500",0.06,0.07,364,655,-0.05,-45.454548,2023-09-11 15:59:28,0.06,0.23438265625,FALSE,357.5,TRUE,0.516240189208984,19.52,2023-09-11 14:13:18,-27.703703,-7.4799995,13,7,21.55,18.7,"MSFT230915P00357500"
66,"MSFT230915C00360000",0.04,0.05,722,21875,-0.030000001,-42.857143,2023-09-11 15:59:05,0.04,0.2461012890625,FALSE,360,TRUE,0.403570417480469,26.04,2023-09-08 15:08:55,0,0,11,4,22.75,20.95,"MSFT230915P00360000"
67,"MSFT230915C00365000",0.02,0.03,472,15095,-0.020000001,-40.000004,2023-09-11 15:59:28,0.03,0.273444765625,FALSE,365,TRUE,0.490727749023438,31.25,2023-09-05 15:10:55,0,0,1,1,27.9,25.3,"MSFT230915P00365000"
68,"MSFT230915C00370000",0.01,0.02,375,10590,-0.02,-66.66667,2023-09-11 15:54:19,0.01,0.3007882421875,FALSE,370,TRUE,0.536625727539063,35.5,2023-09-08 15:50:54,0,0,11,4,32.8,30.9,"MSFT230915P00370000"
69,"MSFT230915C00375000",0,0.01,210,8363,-0.01,-50,2023-09-11 15:49:38,0.01,0.3164130859375,FALSE,375,TRUE,0.586429916992187,40.29,2023-09-08 12:31:56,0,0,0,6,37.75,36.05,"MSFT230915P00375000"
70,"MSFT230915C00380000",0,0.01,167,16763,0,0,2023-09-11 15:57:19,0.01,0.351568984375,FALSE,380,TRUE,0.662601030273438,59.15,2023-08-16 15:06:08,0,0,0,2290,42.85,41,"MSFT230915P00380000"
71,"MSFT230915C00385000",0,0.01,50,6154,-0.01,-50,2023-09-11 14:51:01,0.01,0.39063109375,FALSE,385,TRUE,0.755617678222656,58.02,2023-08-29 15:03:27,0,0,0,1,48.05,46,"MSFT230915P00385000"
72,"MSFT230915C00390000",0,0.01,12,11533,0,0,2023-09-11 15:38:12,0.01,0.42188078125,FALSE,390,TRUE,0.60937890625,58.8,2023-09-06 14:04:16,0,0,0,2,53.7,50.85,"MSFT230915P00390000"
